,avgFillPrice,clientId,filled,id,lastFillPrice,mktCapPrice,orderstate,parentId,permid,status,whyHeld,comboLegs,comboLegsCount,comboLegsDescrip,conId,currency,deltaNeutralContract,deltaNeutralContractPresent,exchange,includeExpired,lastTradeDateOrContractMonth,localSymbol,multiplier,primaryExchange,right,secId,secIdType,secType,strike,symbol,tradingClass,account,action,activeStartTime,activeStopTime,adjustableTrailingUnit,adjustedOrderType,adjustedStopLimitPrice,adjustedStopPrice,adjustedTrailingAmount,algoId,algoParams,algoStrategy,allOrNone,auctionStrategy,auxPrice,basisPoints,basisPointsType,blockOrder,cashQty,clearingAccount,clearingIntent,clientId,conditions,conditionsCancelOrder,conditionsIgnoreRth,conditionsSize,continuousUpdate,delta,deltaNeutralAuxPrice,deltaNeutralClearingAccount,deltaNeutralClearingIntent,deltaNeutralConId,deltaNeutralDesignatedLocation,deltaNeutralOpenClose,deltaNeutralOrderType,deltaNeutralSettlingFirm,deltaNeutralShortSale,deltaNeutralShortSaleSlot,designatedLocation,discretionaryAmt,displaySize,dontUseAutoPriceForHedge,eTradeOnly,exemptCode,extOperator,faGroup,faMethod,faPercentage,faProfile,firmQuoteOnly,goodAfterTime,goodTillDate,hedgeParam,hedgeType,hidden,isPeggedChangeAmountDecrease,lmtPrice,lmtPriceOffset,mifid2DecisionAlgo,mifid2DecisionMaker,mifid2ExecutionAlgo,mifid2ExecutionTrader,minQty,modelCode,nbboPriceCap,notHeld,ocaGroup,ocaType,openClose,optOutSmartRouting,orderComboLegs,orderComboLegsCount,orderId,orderMiscOptions,orderRef,orderType,origin,outsideRth,overridePercentageConstraints,parentId,peggedChangeAmount,percentOffset,permId,randomizePrice,randomizeSize,referenceChangeAmount,referenceContractId,referenceExchangeId,referencePriceType,rule80A,scaleAutoReset,scaleInitFillQty,scaleInitLevelSize,scaleInitPosition,scalePriceAdjustInterval,scalePriceAdjustValue,scalePriceIncrement,scaleProfitOffset,scaleRandomPercent,scaleSubsLevelSize,scaleTable,settlingFirm,sharesAllocation,shortSaleSlot,smartComboRoutingParams,smartComboRoutingParamsCount,softDollarTier,solicited,startingPrice,stockRangeLower,stockRangeUpper,stockRefPrice,sweepToFill,tif,totalQuantity,trailStopPrice,trailingPercent,transmit,triggerMethod,triggerPrice,volatility,volatilityType,whatIf,time_added
0,0.0,1,0.0,20,0.0,0.0,<ibapi.order_state.OrderState object at 0x10ac0c080>,0,1626527283,Submitted,,,0,,329820282,USD,,False,SMART,False,,SIC,,,?,,,STK,0.0,SIC,SCM,U9509931,SELL,,,0,None,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,,,,False,0,0.0,1.7976931348623157e+308,2147483647,False,1.7976931348623157e+308,,IB,1,[],False,False,0,False,1.7976931348623157e+308,1.7976931348623157e+308,,,0,,?,None,,False,0,,0.0,0,True,False,-1,,,,,,False,,,,,False,False,8.7,1.7976931348623157e+308,,,,,2147483647,,1.7976931348623157e+308,False,,3,C,False,,0,20,,,LMT,0,False,False,0,0.0,1.7976931348623157e+308,1626527283,False,False,0.0,0,,0,0,False,2147483647,2147483647,2147483647,2147483647,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,2147483647,,,1626527283.0/U9509931/100,0,,0,"=,",False,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,GTC,232.0,1.7976931348623157e+308,1.7976931348623157e+308,True,0,1.7976931348623157e+308,1.7976931348623157e+308,0,False,
1,0.0,1,0.0,22,0.0,0.0,<ibapi.order_state.OrderState object at 0x10ac0c0f0>,0,1626527286,Submitted,,,0,,319099329,USD,,False,SMART,False,,KNSA,,,?,,,STK,0.0,KNSA,NMS,U9509931,SELL,,,0,None,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,,,,False,0,0.0,1.7976931348623157e+308,2147483647,False,1.7976931348623157e+308,,IB,1,[],False,False,0,False,1.7976931348623157e+308,1.7976931348623157e+308,,,0,,?,None,,False,0,,0.0,0,True,False,-1,,,,,,False,,,,,False,False,18.25,1.7976931348623157e+308,,,,,2147483647,,1.7976931348623157e+308,False,,3,C,False,,0,22,,,LMT,0,False,False,0,0.0,1.7976931348623157e+308,1626527286,False,False,0.0,0,,0,0,False,2147483647,2147483647,2147483647,2147483647,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,2147483647,,,1626527286.0/U9509931/100,0,,0,"=,",False,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,GTC,110.0,1.7976931348623157e+308,1.7976931348623157e+308,True,0,1.7976931348623157e+308,1.7976931348623157e+308,0,False,
2,0.0,1,0.0,23,0.0,0.0,<ibapi.order_state.OrderState object at 0x10ac0c128>,0,1626527287,Submitted,,,0,,310624804,USD,,False,SMART,False,,LAZY,,,?,,,STK,0.0,LAZY,SCM,U9509931,SELL,,,0,None,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,,,,False,0,0.0,1.7976931348623157e+308,2147483647,False,1.7976931348623157e+308,,IB,1,[],False,False,0,False,1.7976931348623157e+308,1.7976931348623157e+308,,,0,,?,None,,False,0,,0.0,0,True,False,-1,,,,,,False,,,,,False,False,5.55,1.7976931348623157e+308,,,,,2147483647,,1.7976931348623157e+308,False,,3,C,False,,0,23,,,LMT,0,False,False,0,0.0,1.7976931348623157e+308,1626527287,False,False,0.0,0,,0,0,False,2147483647,2147483647,2147483647,2147483647,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,2147483647,,,1626527287.0/U9509931/100,0,,0,"=,",False,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,GTC,200.0,1.7976931348623157e+308,1.7976931348623157e+308,True,0,1.7976931348623157e+308,1.7976931348623157e+308,0,False,
0,0.0,1,0.0,20,0.0,0.0,<ibapi.order_state.OrderState object at 0x10ac0c160>,0,1626527283,Submitted,,,0,,329820282,USD,,False,SMART,False,,SIC,,,?,,,STK,0.0,SIC,SCM,U9509931,SELL,,,0,None,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,,,,False,0,0.0,1.7976931348623157e+308,2147483647,False,1.7976931348623157e+308,,IB,1,[],False,False,0,False,1.7976931348623157e+308,1.7976931348623157e+308,,,0,,?,None,,False,0,,0.0,0,True,False,-1,,,,,,False,,,,,False,False,8.7,1.7976931348623157e+308,,,,,2147483647,,1.7976931348623157e+308,False,,3,C,False,,0,20,,,LMT,0,False,False,0,0.0,1.7976931348623157e+308,1626527283,False,False,0.0,0,,0,0,False,2147483647,2147483647,2147483647,2147483647,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,2147483647,,,1626527283.0/U9509931/100,0,,0,"=,",False,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,GTC,232.0,1.7976931348623157e+308,1.7976931348623157e+308,True,0,1.7976931348623157e+308,1.7976931348623157e+308,0,False,2018-11-21 00:03:07.780496
1,0.0,1,0.0,22,0.0,0.0,<ibapi.order_state.OrderState object at 0x10ab25cc0>,0,1626527286,Submitted,,,0,,319099329,USD,,False,SMART,False,,KNSA,,,?,,,STK,0.0,KNSA,NMS,U9509931,SELL,,,0,None,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,,,,False,0,0.0,1.7976931348623157e+308,2147483647,False,1.7976931348623157e+308,,IB,1,[],False,False,0,False,1.7976931348623157e+308,1.7976931348623157e+308,,,0,,?,None,,False,0,,0.0,0,True,False,-1,,,,,,False,,,,,False,False,18.25,1.7976931348623157e+308,,,,,2147483647,,1.7976931348623157e+308,False,,3,C,False,,0,22,,,LMT,0,False,False,0,0.0,1.7976931348623157e+308,1626527286,False,False,0.0,0,,0,0,False,2147483647,2147483647,2147483647,2147483647,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,2147483647,,,1626527286.0/U9509931/100,0,,0,"=,",False,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,GTC,110.0,1.7976931348623157e+308,1.7976931348623157e+308,True,0,1.7976931348623157e+308,1.7976931348623157e+308,0,False,2018-11-21 00:05:06.123194
