,AcctNumber,AvgPrice,ClientId,Commission,OrderId,Price,Shares,comboLegs,comboLegsDescrip,commission_currency,conId,currency,deltaNeutralContract,dttime,exchange,id,includeExpired,lastTradeDateOrContractMonth,localSymbol,multiplier,primaryExchange,realisedpnl,right,secId,secIdType,secType,strike,symbol,time,tradingClass
10,U9509931,8.595,1.0,,23.0,8.595,232.0,,,,329820282.0,USD,,2018-11-13 17:46:32+00:00,ISLAND,00013800.5beaf24d.01.01,False,,SIC,,,,,,,STK,0.0,SIC,20181114  01:46:32,
11,U9509931,7.55,1.0,,19.0,7.55,264.0,,,,322592376.0,USD,,2018-11-13 17:48:38+00:00,ISLAND,0001390d.5beacce8.01.01,False,,MGTA,,,,,,,STK,0.0,MGTA,20181114  01:48:38,
12,U9509931,19.35,1.0,,22.0,19.35,10.0,,,,327422071.0,USD,,2018-11-13 17:52:27+00:00,ISLAND,0001390d.5beacd86.01.01,False,,LQDA,,,,,,,STK,0.0,LQDA,20181114  01:52:27,
13,U9509931,19.35,1.0,,22.0,19.35,93.0,,,,327422071.0,USD,,2018-11-13 17:52:41+00:00,BATS,0000e587.5beab540.01.01,False,,LQDA,,,,,,,STK,0.0,LQDA,20181114  01:52:41,
14,U9509931,12.0817,0.0,,2147483647.0,12.0817,155.0,,,,296320248.0,USD,,2018-11-14 15:08:11+00:00,IBKRATS,0000d322.5bec2d8a.01.01,False,,BXG,,,,,,,STK,0.0,BXG,20181114  23:08:11,
15,U9509931,6.6,1.0,1.018432,18.0,6.6,90.0,,,USD,324062330.0,USD,,2018-11-19 14:30:01+00:00,ISLAND,000137fd.5bf28074.01.01,False,,TBIO,,,29.481568,,,,STK,0.0,TBIO,20181119  22:30:01,
16,U9509931,21.78,1.0,,18.0,21.78,100.0,,,,327422071.0,USD,,2018-11-19 15:35:40+00:00,ISLAND,0001390d.5bf2ab12.01.01,False,,LQDA,,,,,,,STK,0.0,LQDA,20181119  23:35:40,
17,U9509931,21.760666,1.0,,18.0,21.1162,3.0,,,,327422071.0,USD,,2018-11-19 15:35:50+00:00,IBKRATS,0001a2f4.5bf2cdbf.01.01,False,,LQDA,,,,,,,STK,0.0,LQDA,20181119  23:35:50,
18,U9509931,8.53,1.0,0.247874,21.0,8.53,143.0,,,USD,294729588.0,USD,,2018-11-19 15:36:17+00:00,ISLAND,00013d66.5bf2aacd.01.01,False,,ALNA,,,46.227126,,,,STK,0.0,ALNA,20181119  23:36:17,
19,U9509931,11.65,1.0,1.0,26.0,11.65,85.0,,,USD,296320248.0,USD,,2018-11-19 16:03:25+00:00,NYSE,00010ff0.5bf2bf46.01.01,False,,BXG,,,1.7976931348623157e+308,,,,STK,0.0,BXG,20181120  00:03:25,
20,U9509931,3.7954,1.0,,48.0,3.7954,263.0,,,,296466062.0,USD,,2018-11-19 18:18:28+00:00,IBKRATS,0001a2f4.5bf2de7c.01.01,False,,LEVB,,,,,,,STK,0.0,LEVB,20181120  02:18:28,
21,U9509931,7.65,1.0,1.003932,19.0,7.65,18.0,,,USD,322592376.0,USD,,2018-11-19 20:53:48+00:00,ISLAND,0001390d.5bf2ed64.01.01,False,,MGTA,,,0.706068,,,,STK,0.0,MGTA,20181120  04:53:48,
22,U9509931,7.65,1.0,0.373739,19.0,7.65,246.0,,,USD,322592376.0,USD,,2018-11-19 20:54:04+00:00,ISLAND,0001390d.5bf2ed88.01.01,False,,MGTA,,,22.996261,,,,STK,0.0,MGTA,20181120  04:54:04,
23,U9509931,3.15,1.0,1.0,46.0,3.15,100.0,,,USD,306363711.0,USD,,2018-11-20 17:56:16+00:00,ISLAND,0001390d.5bf43e64.01.01,False,,MOTS,,,1.7976931348623157e+308,,,,STK,0.0,MOTS,20181121  01:56:16,
24,U9509931,12.6,1.0,,61.0,12.6,79.0,,,,86823361.0,USD,,2018-11-20 18:05:33+00:00,ISLAND,00013800.5bf4432e.01.01,False,,SVVC,,,,,,,STK,0.0,SVVC,20181121  02:05:33,
25,U9509931,5.55,1.0,1.0,63.0,5.55,180.0,,,USD,295154154.0,USD,,2018-11-20 18:24:18+00:00,DRCTEDGE,0000d7a7.5bf41a3b.01.01,False,,FTNW,,,1.7976931348623157e+308,,,,STK,0.0,FTNW,20181121  02:24:18,
26,U9509931,5.142268,1.0,,61.0,5.15,94.0,,,,309790799.0,USD,,2018-11-23 16:53:57+00:00,ISLAND,00013d66.5bf7f933.01.01,False,,BTAI,,,,,,,STK,0.0,BTAI,20181124  00:53:57,
27,U9509931,10.7,1.0,,130.0,10.7,91.0,,,,335150869.0,USD,,2018-11-26 15:04:03+00:00,ISLAND,00013800.5bfbd671.01.01,False,,STRO,,,,,,,STK,0.0,STRO,20181126  23:04:03,
28,U9509931,3.85,1.0,1.031105,60.0,3.85,184.0,,,USD,296466062.0,USD,,2018-11-23 16:47:32+00:00,DRCTEDGE,0000d7a7.5bf7f3a9.01.01,False,,LEVB,,,8.095295,,,,STK,0.0,LEVB,20181124  00:47:32,
29,U9509931,3.2,1.0,0.44,104.0,3.2,88.0,,,USD,162959236.0,USD,,2018-11-23 17:56:04+00:00,NYSE,0000e36b.5bf80657.01.01,False,,ICD,,,1.7976931348623157e+308,,,,STK,0.0,ICD,20181124  01:56:04,
30,U9509931,3.65,1.0,,195.0,3.65,77.0,,,,212488725.0,USD,,2018-11-27 14:43:35+00:00,ISLAND,00013d04.5bfd0ae2.01.01,False,,CERC,,,,,,,STK,0.0,CERC,20181127  22:43:35,
31,U9509931,3.85,1.0,,195.0,3.85,259.0,,,,286853239.0,USD,,2018-11-26 17:02:03+00:00,ISLAND,0001390d.5bfbe5d2.01.01,False,,MBIO,,,,,,,STK,0.0,MBIO,20181127  01:02:03,
32,U9509931,6.8,1.0,,187.0,6.8,7.0,,,,258675291.0,USD,,2018-11-26 17:01:53+00:00,NYSE,0000e514.5bfbf54b.01.01,False,,KEG,,,,,,,STK,0.0,KEG,20181127  01:01:53,
33,U9509931,5.65,1.0,0.030792,193.0,5.65,160.0,,,USD,295154154.0,USD,,2018-11-28 14:38:01+00:00,DRCTEDGE,0000d7a7.5bfe7335.01.01,False,,FTNW,,,15.080319,,,,STK,0.0,FTNW,20181128  22:38:01,FTNW
34,U9509931,3.4,1.0,,140.0,3.4,102.0,,,,265852086.0,USD,,2018-11-26 15:20:57+00:00,ISLAND,0001390d.5bfbd076.01.01,False,,MGEN,,,,,,,STK,0.0,MGEN,20181126  23:20:57,
35,U9509931,6.8,1.0,,187.0,6.8,2.0,,,,258675291.0,USD,,2018-11-26 17:00:40+00:00,NYSE,0000e514.5bfbf53d.01.01,False,,KEG,,,,,,,STK,0.0,KEG,20181127  01:00:40,
36,U9509931,6.8,1.0,,187.0,6.8,10.0,,,,258675291.0,USD,,2018-11-26 16:59:59+00:00,NYSE,0000e514.5bfbf539.01.01,False,,KEG,,,,,,,STK,0.0,KEG,20181127  00:59:59,
37,U9509931,8.7,1.0,,40.0,8.7,98.0,,,,329820282.0,USD,,2018-11-23 17:55:02+00:00,ISLAND,00013800.5bf7ff40.01.01,False,,SIC,,,,,,,STK,0.0,SIC,20181124  01:55:02,
38,U9509931,4.89,1.0,1.036514,120.0,4.89,200.0,,,USD,310624804.0,USD,,2018-11-26 14:30:01+00:00,ISLAND,0001390d.5bfbb950.01.01,False,,LAZY,,,-114.036514,,,,STK,0.0,LAZY,20181126  22:30:01,
39,U9509931,8.65,1.0,,125.0,8.65,115.0,,,,322592376.0,USD,,2018-11-26 14:52:05+00:00,ISLAND,0001390d.5bfbc6f1.01.01,False,,MGTA,,,,,,,STK,0.0,MGTA,20181126  22:52:05,
40,U9509931,8.819917,1.0,0.003492,231.0,8.7527,15.0,,,USD,322592376.0,USD,,2018-11-28 15:23:20+00:00,DARK,000106fd.5bfeadbb.01.01,False,,MGTA,,,1.406573,,,,STK,0.0,MGTA,20181128  23:23:20,NMS
41,U9509931,3.25,1.0,1.003548,190.0,3.25,22.0,,,USD,162959236.0,USD,,2018-11-27 14:30:00+00:00,NYSE,0000e36b.5bfd30c5.01.01,False,,ICD,,,-0.013547,,,,STK,0.0,ICD,20181127  22:30:00,
42,U9509931,4.7,1.0,,210.0,4.7,100.0,,,,242774578.0,USD,,2018-11-27 15:10:02+00:00,ISLAND,0001390d.5bfd1a5c.01.01,False,,LMB,,,,,,,STK,0.0,LMB,20181127  23:10:02,
43,U9509931,3.25,1.0,,190.0,3.25,146.0,,,,162959236.0,USD,,2018-11-27 14:32:01+00:00,NYSE,0000e36b.5bfd37ca.01.01,False,,ICD,,,,,,,STK,0.0,ICD,20181127  22:32:01,
44,U9509931,3.25,1.0,,190.0,3.25,6.0,,,,162959236.0,USD,,2018-11-27 14:32:01+00:00,NYSE,0000e36b.5bfd37cb.01.01,False,,ICD,,,,,,,STK,0.0,ICD,20181127  22:32:01,
45,U9509931,12.86,1.0,1.022608,56.0,12.86,79.0,,,USD,86823361.0,USD,,2018-11-23 14:30:00+00:00,ISLAND,00013800.5bf7c7c7.01.01,False,,SVVC,,,18.517392,,,,STK,0.0,SVVC,20181123  22:30:00,
46,U9509931,6.8,1.0,,187.0,6.8,5.0,,,,258675291.0,USD,,2018-11-26 17:02:56+00:00,NYSE,0000e514.5bfbf564.01.01,False,,KEG,,,,,,,STK,0.0,KEG,20181127  01:02:56,
47,U9509931,5.65,1.0,1.003849,193.0,5.65,20.0,,,USD,295154154.0,USD,,2018-11-28 14:34:42+00:00,DRCTEDGE,0000d7a7.5bfe724f.01.01,False,,FTNW,,,0.88504,,,,STK,0.0,FTNW,20181128  22:34:42,FTNW
48,U9509931,3.6,1.0,,112.0,3.6,100.0,,,,212488725.0,USD,,2018-11-23 17:52:14+00:00,ISLAND,00013d04.5bf7dc71.01.01,False,,CERC,,,,,,,STK,0.0,CERC,20181124  01:52:14,
49,U9509931,3.2,1.0,0.0,104.0,3.2,100.0,,,USD,162959236.0,USD,,2018-11-23 17:56:04+00:00,NYSE,0000e36b.5bf80655.01.01,False,,ICD,,,1.7976931348623157e+308,,,,STK,0.0,ICD,20181124  01:56:04,
50,U9509931,5.78,1.0,1.034169,186.0,5.78,176.0,,,USD,328849154.0,USD,,2018-11-27 14:30:01+00:00,ISLAND,00013d66.5bfd0e23.01.01,False,,AEYE,,,20.845831,,,,STK,0.0,AEYE,20181127  22:30:01,
51,U9509931,3.3,1.0,1.0,139.0,3.3,30.0,,,USD,154991941.0,USD,,2018-11-26 15:46:39+00:00,ISLAND,00013d66.5bfbe0cf.01.01,False,,ASPN,,,1.7976931348623157e+308,,,,STK,0.0,ASPN,20181126  23:46:39,
52,U9509931,8.25,1.0,,131.0,8.25,50.0,,,,335150874.0,USD,,2018-11-26 15:10:09+00:00,ISLAND,000137fd.5bfbc984.01.01,False,,UROV,,,,,,,STK,0.0,UROV,20181126  23:10:09,
53,U9509931,3.65,1.0,,195.0,3.65,200.0,,,,212488725.0,USD,,2018-11-27 14:43:35+00:00,ISLAND,00013d04.5bfd0ae1.01.01,False,,CERC,,,,,,,STK,0.0,CERC,20181127  22:43:35,
54,U9509931,10.7,1.0,,130.0,10.7,2.0,,,,335150869.0,USD,,2018-11-26 15:04:03+00:00,ISLAND,00013800.5bfbd670.01.01,False,,STRO,,,,,,,STK,0.0,STRO,20181126  23:04:03,
55,U9509931,5.45,1.0,0.0,157.0,5.45,37.0,,,USD,300465612.0,USD,,2018-11-26 16:30:25+00:00,ISLAND,00013d04.5bfbc586.01.01,False,,CUE,,,1.7976931348623157e+308,,,,STK,0.0,CUE,20181127  00:30:25,
56,U9509931,3.25,1.0,,190.0,3.25,73.0,,,,162959236.0,USD,,2018-11-27 14:32:01+00:00,NYSE,0000e36b.5bfd37c9.01.01,False,,ICD,,,,,,,STK,0.0,ICD,20181127  22:32:01,
57,U9509931,5.65,1.0,,96.0,5.65,176.0,,,,328849154.0,USD,,2018-11-23 17:36:43+00:00,ARCA,0000eb81.5bf7d8d8.01.01,False,,AEYE,,,,,,,STK,0.0,AEYE,20181124  01:36:43,
58,U9509931,18.25,1.0,1.039187,41.0,18.25,110.0,,,USD,319099329.0,USD,,2018-11-21 17:03:25+00:00,ISLAND,0001390e.5bf53dc6.01.01,False,,KNSA,,,19.960812,,,,STK,0.0,KNSA,20181122  01:03:25,
59,U9509931,6.8,1.0,,187.0,6.8,5.0,,,,258675291.0,USD,,2018-11-26 17:04:48+00:00,NYSE,0000e514.5bfbf586.01.01,False,,KEG,,,,,,,STK,0.0,KEG,20181127  01:04:48,
60,U9509931,6.8,1.0,,187.0,6.8,10.0,,,,258675291.0,USD,,2018-11-26 17:00:59+00:00,NYSE,0000e514.5bfbf53f.01.01,False,,KEG,,,,,,,STK,0.0,KEG,20181127  01:00:59,
61,U9509931,10.3,1.0,0.0,221.0,10.3,14.0,,,USD,251284591.0,USD,,2018-11-27 21:00:34+00:00,NYSE,00010ff0.5bfd64f9.01.01,False,,AZRE,,,1.7976931348623157e+308,,,,STK,0.0,AZRE,20181128  05:00:34,
62,U9509931,3.75,1.0,,183.0,3.75,7.0,,,,243188407.0,USD,,2018-11-26 17:10:04+00:00,ISLAND,00013d66.5bfbf70b.01.01,False,,ATOM,,,,,,,STK,0.0,ATOM,20181127  01:10:04,
63,U9509931,8.15,1.0,1.027894,234.0,8.15,124.0,,,USD,335150862.0,USD,,2018-11-28 15:48:52+00:00,NYSE,0000e520.5bfe976e.01.01,False,,RMED,,,10.372106,,,,STK,0.0,RMED,20181128  23:48:52,RMED
64,U9509931,8.25,1.0,,131.0,8.25,71.0,,,,335150874.0,USD,,2018-11-26 15:03:38+00:00,ISLAND,000137fd.5bfbc7c3.01.01,False,,UROV,,,,,,,STK,0.0,UROV,20181126  23:03:38,
65,U9509931,3.4,1.0,,140.0,3.4,100.0,,,,265852086.0,USD,,2018-11-26 15:18:48+00:00,ISLAND,0001390d.5bfbcfd7.01.01,False,,MGEN,,,,,,,STK,0.0,MGEN,20181126  23:18:48,
66,U9509931,3.25,1.0,,190.0,3.25,65.0,,,,162959236.0,USD,,2018-11-27 14:31:43+00:00,NYSE,0000e36b.5bfd3770.01.01,False,,ICD,,,,,,,STK,0.0,ICD,20181127  22:31:43,
67,U9509931,3.2,1.0,0.12,104.0,3.2,37.0,,,USD,162959236.0,USD,,2018-11-23 17:56:04+00:00,NYSE,0000e36b.5bf80656.01.01,False,,ICD,,,1.7976931348623157e+308,,,,STK,0.0,ICD,20181124  01:56:04,
68,U9509931,3.4,1.0,,140.0,3.4,70.0,,,,265852086.0,USD,,2018-11-26 15:20:57+00:00,ISLAND,0001390d.5bfbd075.01.01,False,,MGEN,,,,,,,STK,0.0,MGEN,20181126  23:20:57,
69,U9509931,4.05,1.0,,114.0,4.05,246.0,,,,274616949.0,USD,,2018-11-23 17:54:58+00:00,ISLAND,00013800.5bf7ff2c.01.01,False,,ROSE,,,,,,,STK,0.0,ROSE,20181124  01:54:58,
70,U9509931,6.8,1.0,,187.0,6.8,3.0,,,,258675291.0,USD,,2018-11-26 17:00:25+00:00,NYSE,0000e514.5bfbf53b.01.01,False,,KEG,,,,,,,STK,0.0,KEG,20181127  01:00:25,
71,U9509931,6.3,1.0,0.0,178.0,6.3,157.0,,,USD,227267069.0,USD,,2018-11-26 16:51:19+00:00,ISLAND,00013d04.5bfbc708.01.01,False,,CRVS,,,1.7976931348623157e+308,,,,STK,0.0,CRVS,20181127  00:51:19,
72,U9509931,5.135,1.0,,61.0,5.135,100.0,,,,309790799.0,USD,,2018-11-23 16:53:21+00:00,IEX,000154a9.5bf8044d.01.01,False,,BTAI,,,,,,,STK,0.0,BTAI,20181124  00:53:21,
73,U9509931,6.55,1.0,,128.0,6.55,152.0,,,,335049677.0,USD,,2018-11-26 15:28:14+00:00,ISLAND,00013911.5bfbc6fc.01.01,False,,ETTX,,,,,,,STK,0.0,ETTX,20181126  23:28:14,
74,U9509931,3.2,1.0,1.0,104.0,3.2,87.0,,,USD,162959236.0,USD,,2018-11-23 17:56:04+00:00,NYSE,0000e36b.5bf80654.01.01,False,,ICD,,,1.7976931348623157e+308,,,,STK,0.0,ICD,20181124  01:56:04,
75,U9509931,3.95,1.0,,171.0,3.95,253.0,,,,332929685.0,USD,,2018-11-26 16:44:30+00:00,ISLAND,00013d66.5bfbf264.01.01,False,,BSGM,,,,,,,STK,0.0,BSGM,20181127  00:44:30,
76,U9509931,11.8,1.0,,59.0,11.8,85.0,,,,296320248.0,USD,,2018-11-23 14:33:27+00:00,NYSE,00010ff0.5bf7f2ed.01.01,False,,BXG,,,,,,,STK,0.0,BXG,20181123  22:33:27,
77,U9509931,10.3,1.0,1.0,221.0,10.3,40.0,,,USD,251284591.0,USD,,2018-11-27 19:19:53+00:00,NYSE,00010ff0.5bfd5943.01.01,False,,AZRE,,,1.7976931348623157e+308,,,,STK,0.0,AZRE,20181128  03:19:53,
78,U9509931,7.75,1.0,,197.0,7.75,129.0,,,,294729611.0,USD,,2018-11-27 14:43:24+00:00,ISLAND,00013800.5bfd155d.01.01,False,,SPRO,,,,,,,STK,0.0,SPRO,20181127  22:43:24,
79,U9509931,3.85,1.0,0.328355,60.0,3.85,79.0,,,USD,296466062.0,USD,,2018-11-23 16:47:32+00:00,DRCTEDGE,0000d7a7.5bf7f3aa.01.01,False,,LEVB,,,3.590045,,,,STK,0.0,LEVB,20181124  00:47:32,
80,U9509931,4.2,1.0,,109.0,4.2,46.0,,,,304144060.0,USD,,2018-11-23 17:55:35+00:00,ISLAND,00013800.5bf7ffb4.01.01,False,,RKDA,,,,,,,STK,0.0,RKDA,20181124  01:55:35,
81,U9509931,8.05,1.0,,129.0,8.05,124.0,,,,335150862.0,USD,,2018-11-26 15:32:21+00:00,NYSE,0000e520.5bfbf2c0.01.01,False,,RMED,,,,,,,STK,0.0,RMED,20181126  23:32:21,
82,U9509931,3.2,1.0,1.01606,58.0,3.2,100.0,,,USD,306363711.0,USD,,2018-11-23 14:39:13+00:00,ISLAND,0001390d.5bf7c96d.01.01,False,,MOTS,,,2.98394,,,,STK,0.0,MOTS,20181123  22:39:13,
83,U9509931,6.65,1.0,,205.0,6.65,150.0,,,,262067284.0,USD,,2018-11-27 14:58:38+00:00,ISLAND,0001390d.5bfd16c2.01.01,False,,NTRP,,,,,,,STK,0.0,NTRP,20181127  22:58:38,
84,U9509931,3.4,1.0,,140.0,3.4,22.0,,,,265852086.0,USD,,2018-11-26 15:19:57+00:00,ISLAND,0001390d.5bfbd02e.01.01,False,,MGEN,,,,,,,STK,0.0,MGEN,20181126  23:19:57,
85,U9509931,4.7,1.0,0.06,210.0,4.7,112.0,,,USD,242774578.0,USD,,2018-11-27 15:10:02+00:00,ISLAND,0001390d.5bfd1a5d.01.01,False,,LMB,,,1.7976931348623157e+308,,,,STK,0.0,LMB,20181127  23:10:02,
86,U9509931,3.6,1.0,,112.0,3.6,77.0,,,,212488725.0,USD,,2018-11-23 17:52:19+00:00,ISLAND,00013d04.5bf7dc72.01.01,False,,CERC,,,,,,,STK,0.0,CERC,20181124  01:52:19,
87,U9509931,8.9,1.0,,122.0,8.9,47.0,,,,296466069.0,USD,,2018-11-26 14:49:38+00:00,ISLAND,00013800.5bfbcd29.01.01,False,,SBT,,,,,,,STK,0.0,SBT,20181126  22:49:38,
88,U9509931,8.83,1.0,1.023379,231.0,8.83,100.0,,,USD,322592376.0,USD,,2018-11-28 15:23:20+00:00,DARK,0000d6a5.5bfeb01e.01.01,False,,MGTA,,,16.107056,,,,STK,0.0,MGTA,20181128  23:23:20,NMS
89,U9509931,6.8,1.0,,187.0,6.8,15.0,,,,258675291.0,USD,,2018-11-26 17:03:11+00:00,NYSE,0000e514.5bfbf567.01.01,False,,KEG,,,,,,,STK,0.0,KEG,20181127  01:03:11,
90,U9509931,5.45,1.0,1.0,157.0,5.45,130.0,,,USD,300465612.0,USD,,2018-11-26 16:30:25+00:00,ISLAND,00013d04.5bfbc585.01.01,False,,CUE,,,1.7976931348623157e+308,,,,STK,0.0,CUE,20181127  00:30:25,
91,U9509931,4.25,1.0,0.175,209.0,4.25,64.0,,,USD,57044719.0,USD,,2018-11-26 17:13:22+00:00,DRCTEDGE,0000d7a7.5bfbedc2.01.01,False,,IMH,,,1.7976931348623157e+308,,,,STK,0.0,IMH,20181127  01:13:22,
92,U9509931,4.25,1.0,1.0,209.0,4.25,171.0,,,USD,57044719.0,USD,,2018-11-26 17:13:22+00:00,DRCTEDGE,0000d7a7.5bfbedc1.01.01,False,,IMH,,,1.7976931348623157e+308,,,,STK,0.0,IMH,20181127  01:13:22,
93,U9509931,3.6,1.0,,112.0,3.6,100.0,,,,212488725.0,USD,,2018-11-23 17:52:09+00:00,ISLAND,00013d04.5bf7dc6f.01.01,False,,CERC,,,,,,,STK,0.0,CERC,20181124  01:52:09,
94,U9509931,6.3,1.0,,178.0,6.3,1.0,,,,227267069.0,USD,,2018-11-26 16:51:19+00:00,ISLAND,00013d04.5bfbc707.01.01,False,,CRVS,,,,,,,STK,0.0,CRVS,20181127  00:51:19,
95,U9509931,8.7,1.0,1.02321,227.0,8.7,100.0,,,USD,329820282.0,USD,,2018-11-28 19:10:34+00:00,ISLAND,00013800.5bfeaf55.01.01,False,,SIC,,,8.97679,,,,STK,0.0,SIC,20181129  03:10:34,SCM
96,U9509931,8.7,1.0,0.007891,227.0,8.7,34.0,,,USD,329820282.0,USD,,2018-11-28 19:42:32+00:00,ISLAND,00013800.5bfeb4dd.01.01,False,,SIC,,,3.392109,,,,STK,0.0,SIC,20181129  03:42:32,SCM
97,U9509931,11.65,1.0,1.0,242.0,11.65,85.0,,,USD,321419016.0,USD,,2018-11-28 16:14:10+00:00,ISLAND,000100eb.5bfe7031.01.01,False,,VRCA,,,1.7976931348623157e+308,,,,STK,0.0,VRCA,20181129  00:14:10,NMS
98,U9509931,6.9,1.0,1.011896,248.0,6.9,57.0,,,USD,258675291.0,USD,,2018-11-28 17:55:48+00:00,AMEX,0000f5b4.5bfe7bac.01.01,False,,KEG,,,3.688104,,,,STK,0.0,KEG,20181129  01:55:48,KEG
99,U9509931,3.45,1.0,0.165243,229.0,3.45,32.0,,,USD,265852086.0,USD,,2018-11-28 17:30:36+00:00,ISLAND,0001390d.5bfe8824.01.01,False,,MGEN,,,1.274757,,,,STK,0.0,MGEN,20181129  01:30:36,SCM
100,U9509931,4.02,1.0,1.017126,247.0,4.02,100.0,,,USD,286853239.0,USD,,2018-11-28 17:05:26+00:00,ARCA,00010358.5bfe761e.01.01,False,,MBIO,,,15.482874,,,,STK,0.0,MBIO,20181129  01:05:26,NMS
101,U9509931,5.9,1.0,1.0,260.0,5.9,100.0,,,USD,266400863.0,USD,,2018-11-28 17:39:57+00:00,ISLAND,00013800.5bfe9c8c.01.01,False,,RMBL,,,1.7976931348623157e+308,,,,STK,0.0,RMBL,20181129  01:39:57,SCM
102,U9509931,5.9,1.0,1.0,241.0,5.9,131.0,,,USD,319099408.0,USD,,2018-11-28 16:11:27+00:00,ISLAND,00013d04.5bfe6e71.01.01,False,,CLPS,,,1.7976931348623157e+308,,,,STK,0.0,CLPS,20181129  00:11:27,NMS
103,U9509931,4.4,1.0,1.0,287.0,4.4,200.0,,,USD,3404763.0,USD,,2018-11-28 19:45:25+00:00,ISLAND,00013800.5bfeb52d.01.01,False,,PHII,,,1.7976931348623157e+308,,,,STK,0.0,PHII,20181129  03:45:25,NMS
104,U9509931,8.35,1.0,1.022755,230.0,8.35,100.0,,,USD,335150874.0,USD,,2018-11-28 17:07:19+00:00,ISLAND,000137fd.5bfe7726.01.01,False,,UROV,,,8.150799,,,,STK,0.0,UROV,20181129  01:07:19,NMS
105,U9509931,4.1124,1.0,1.308633,244.0,4.1124,253.0,,,USD,332929685.0,USD,,2018-11-28 16:44:42+00:00,IBKRATS,0000d322.5bfeb4bd.01.01,False,,BSGM,,,38.513567,,,,STK,0.0,BSGM,20181129  00:44:42,SCM
106,U9509931,5.9,1.0,0.0,260.0,5.9,69.0,,,USD,266400863.0,USD,,2018-11-28 17:39:57+00:00,ISLAND,00013800.5bfe9c8d.01.01,False,,RMBL,,,1.7976931348623157e+308,,,,STK,0.0,RMBL,20181129  01:39:57,SCM
107,U9509931,4.4,1.0,0.135,287.0,4.4,27.0,,,USD,3404763.0,USD,,2018-11-28 19:45:38+00:00,ISLAND,00013800.5bfeb541.01.01,False,,PHII,,,1.7976931348623157e+308,,,,STK,0.0,PHII,20181129  03:45:38,NMS
108,U9509931,6.25,1.0,1.0,256.0,6.25,160.0,,,USD,279261014.0,USD,,2018-11-28 17:34:00+00:00,ISLAND,00013911.5bfe8133.01.01,False,,EAST,,,1.7976931348623157e+308,,,,STK,0.0,EAST,20181129  01:34:00,SCM
109,U9509931,4.017722,1.0,0.305097,247.0,4.01,59.0,,,USD,286853239.0,USD,,2018-11-28 17:05:26+00:00,BEX,00014229.5bfe6b2a.01.01,False,,MBIO,,,8.839903,,,,STK,0.0,MBIO,20181129  01:05:26,NMS
