,AcctNumber,AvgPrice,ClientId,Commission,OrderId,Price,Shares,comboLegs,comboLegsDescrip,commission_currency,conId,currency,deltaNeutralContract,dttime,exchange,id,includeExpired,lastTradeDateOrContractMonth,localSymbol,multiplier,primaryExchange,realisedpnl,right,secId,secIdType,secType,strike,symbol,time,tradingClass
0,U9509931,,,,,8.4,80.0,,,,,USD,,2018-11-08 18:57:49+00:00,ISLAND,,,,ALNA,,,,,,,STK,,ALNA,,
1,U9509931,5.0,0.0,,2147483647.0,5.0,100.0,,,,283770143.0,USD,,2018-11-12 18:56:17+00:00,ISLAND,00011e50.5be96ebf.01.01,False,,ALPN,,,,,,,STK,0.0,ALPN,20181113  02:56:17,
2,U9509931,5.15,0.0,,2147483647.0,5.15,10.0,,,,283770143.0,USD,,2018-11-13 15:09:43+00:00,ISLAND,00013d66.5beab96b.01.01,False,,ALPN,,,,,,,STK,0.0,ALPN,20181113  23:09:43,
3,U9509931,5.045455,0.0,,2147483647.0,5.0,23.0,,,,283770143.0,USD,,2018-11-13 15:21:36+00:00,ISLAND,00013d66.5beabde7.01.01,False,,ALPN,,,,,,,STK,0.0,ALPN,20181113  23:21:36,
4,U9509931,6.82,0.0,,2147483647.0,6.82,216.0,,,,295154154.0,USD,,2018-11-13 15:34:29+00:00,AMEX,0000f5b4.5beab3fb.01.01,False,,FTNW,,,,,,,STK,0.0,FTNW,20181113  23:34:29,
5,U9509931,8.2,1.0,1.215,9.0,8.2,243.0,,,USD,294729588.0,USD,,2018-11-13 15:53:21+00:00,ISLAND,00013d66.5beacae6.01.01,False,,ALNA,,,1.7976931348623157e+308,,,,STK,0.0,ALNA,20181113  23:53:21,
6,U9509931,5.45,1.0,1.0,13.0,5.45,200.0,,,USD,310624804.0,USD,,2018-11-13 16:04:11+00:00,ISLAND,0001390d.5beabb67.01.01,False,,LAZY,,,1.7976931348623157e+308,,,,STK,0.0,LAZY,20181114  00:04:11,
7,U9509931,6.25,1.0,,18.0,6.25,90.0,,,,324062330.0,USD,,2018-11-13 16:04:37+00:00,ISLAND,000137fd.5beaba63.01.01,False,,TBIO,,,,,,,STK,0.0,TBIO,20181114  00:04:37,
8,U9509931,18.05,1.0,,16.0,18.05,100.0,,,,319099329.0,USD,,2018-11-13 16:07:53+00:00,ISLAND,0001390e.5beaa92d.01.01,False,,KNSA,,,,,,,STK,0.0,KNSA,20181114  00:07:53,
9,U9509931,18.05,1.0,,16.0,18.05,10.0,,,,319099329.0,USD,,2018-11-13 16:08:04+00:00,ISLAND,0001390e.5beaa93d.01.01,False,,KNSA,,,,,,,STK,0.0,KNSA,20181114  00:08:04,
