Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Exchange,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Column1,Column2
Trades,Data,Order,Stocks,USD,ALNA,"2018-11-19, 10:36:17",-,-243,8.53,8.17,2072.79,-1.27086327,-1993.815,77.704137,87.48,C;P,8.53,TRUE
Trades,Data,Trade,Stocks,USD,ALNA,"2018-11-19, 10:36:17",ISLAND,-100,8.53,8.17,853,-1.022989,-820.5,31.477011,36,C;P,8.53,TRUE
Trades,Data,ClosedLot,Stocks,USD,ALNA,13/11/18,,100,8.205,,,,820.5,31.477011,,ST,0,FALSE
Trades,Data,Trade,Stocks,USD,ALNA,"2018-11-19, 10:36:17",ISLAND,-143,8.53,8.17,1219.79,-0.24787427,-1173.315,46.227126,51.48,C;P,8.53,TRUE
Trades,Data,ClosedLot,Stocks,USD,ALNA,13/11/18,,143,8.205,,,,1173.315,46.227126,,ST,0,FALSE
Trades,SubTotal,,Stocks,USD,ALNA (Sold),,,-323,8.497801858,,2744.79,-2.28911927,-2658.815,83.685881,70.68,,8.497801858,FALSE
Trades,SubTotal,,Stocks,USD,ALNA,,,0,,,88.19,-4.50411927,0,83.685881,107.96,,#DIV/0!,#DIV/0!
Trades,Data,Order,Stocks,USD,ALPN,"2018-11-02, 15:55:47",-,133,4.95112782,4.77,-658.5,-1,659.5,0,-24.09,O;P,4.95112782,FALSE
Trades,Data,Trade,Stocks,USD,ALPN,"2018-11-02, 15:55:47",ISLAND,50,4.87,4.77,-243.5,-1,244.5,0,-5,O;P,4.87,TRUE
Trades,Data,Trade,Stocks,USD,ALPN,"2018-11-02, 15:56:06",ISLAND,83,5,4.77,-415,0,415,0,-19.09,O;P,5,TRUE
Trades,SubTotal,,Stocks,USD,ALPN (Bought),,,133,4.95112782,,-658.5,-1,659.5,0,-24.09,,4.95112782,FALSE
Trades,Data,Order,Stocks,USD,ALPN,"2018-11-12, 13:56:17",-,-100,5,5.18,500,-1.0184,-494.5,4.4816,-18,C,5,TRUE
Trades,Data,Trade,Stocks,USD,ALPN,"2018-11-12, 13:56:17",ISLAND,-100,5,5.18,500,-1.0184,-494.5,4.4816,-18,C,5,TRUE
Trades,Data,ClosedLot,Stocks,USD,ALPN,2/11/18,,100,4.945,,,,494.5,4.4816,,ST,0,FALSE
Trades,Data,Order,Stocks,USD,ALPN,"2018-11-13, 10:09:43",-,-33,5.045454545,5.14,166.5,-1.0060915,-165,0.493908,-3.12,C;P,5.045454545,FALSE
Trades,Data,Trade,Stocks,USD,ALPN,"2018-11-13, 10:09:43",ISLAND,-10,5.15,5.14,51.5,-1.0018595,-50,0.49814,0.1,C;P,5.15,TRUE
Trades,Data,ClosedLot,Stocks,USD,ALPN,2/11/18,,10,5,,,,50,0.49814,,ST,0,FALSE
Trades,Data,Trade,Stocks,USD,ALPN,"2018-11-13, 10:21:36",ISLAND,-23,5,5.14,115,-0.004232,-115,-0.004232,-3.22,C;P,5,TRUE
Trades,Data,ClosedLot,Stocks,USD,ALPN,2/11/18,,23,5,,,,115,-0.004232,,ST,0,FALSE
Trades,SubTotal,,Stocks,USD,ALPN (Sold),,,-133,5.011278195,,666.5,-2.0244915,-659.5,4.975508,-21.12,,5.011278195,FALSE
Trades,SubTotal,,Stocks,USD,ALPN,,,0,,,8,-3.0244915,0,4.975508,-45.21,,#DIV/0!,#DIV/0!
Trades,Data,Order,Stocks,USD,ASPN,"2018-11-26, 10:46:39",-,30,3.3,3.2,-99,-1,100,0,-3,O,3.3,TRUE
Trades,Data,Trade,Stocks,USD,ASPN,"2018-11-26, 10:46:39",ISLAND,30,3.3,3.2,-99,-1,100,0,-3,O,3.3,TRUE
Trades,SubTotal,,Stocks,USD,ASPN (Bought),,,30,3.3,,-99,-1,100,0,-3,,3.3,TRUE
Trades,Data,Order,Stocks,USD,ATOM,"2018-11-26, 12:10:04",-,7,3.75,3.71,-26.25,-1,27.25,0,-0.28,O,3.75,TRUE
Trades,Data,Trade,Stocks,USD,ATOM,"2018-11-26, 12:10:04",ISLAND,7,3.75,3.71,-26.25,-1,27.25,0,-0.28,O,3.75,TRUE
Trades,SubTotal,,Stocks,USD,ATOM (Bought),,,7,3.75,,-26.25,-1,27.25,0,-0.28,,3.75,TRUE
Trades,Data,Order,Stocks,USD,BSGM,"2018-11-26, 11:44:30",-,253,3.95,3.83,-999.35,-1.265,1000.615,0,-30.36,O,3.95,TRUE
Trades,Data,Trade,Stocks,USD,BSGM,"2018-11-26, 11:44:30",ISLAND,253,3.95,3.83,-999.35,-1.265,1000.615,0,-30.36,O,3.95,TRUE
Trades,SubTotal,,Stocks,USD,BSGM (Bought),,,253,3.95,,-999.35,-1.265,1000.615,0,-30.36,,3.95,TRUE
Trades,Data,Order,Stocks,USD,BTAI,"2018-11-23, 11:53:21",-,194,5.142268041,5.02,-997.6,-1,998.6,0,-23.72,O;P,5.142268041,FALSE
Trades,Data,Trade,Stocks,USD,BTAI,"2018-11-23, 11:53:21",IEX,100,5.135,5.02,-513.5,-1,514.5,0,-11.5,O;P,5.135,TRUE
Trades,Data,Trade,Stocks,USD,BTAI,"2018-11-23, 11:53:57",ISLAND,94,5.15,5.02,-484.1,0,484.1,0,-12.22,O;P,5.15,TRUE
Trades,SubTotal,,Stocks,USD,BTAI (Bought),,,194,5.142268041,,-997.6,-1,998.6,0,-23.72,,5.142268041,FALSE
Trades,Data,Order,Stocks,USD,BXG,"2018-11-06, 11:37:04",-,155,12.85,11.84,-1991.75,-1,1992.75,0,-156.55,O;P,12.85,TRUE
Trades,Data,Trade,Stocks,USD,BXG,"2018-11-06, 11:37:04",NYSE,55,12.85,11.84,-706.75,-1,707.75,0,-55.55,O;P,12.85,TRUE
Trades,Data,Trade,Stocks,USD,BXG,"2018-11-06, 11:37:04",NYSE,100,12.85,11.84,-1285,0,1285,0,-101,O;P,12.85,TRUE
Trades,Data,Order,Stocks,USD,BXG,"2018-11-19, 11:03:25",-,85,11.65,11.41,-990.25,-1,991.25,65.877353,-20.4,O,11.65,TRUE
Trades,Data,Trade,Stocks,USD,BXG,"2018-11-19, 11:03:25",NYSE,85,11.65,11.41,-990.25,-1,991.25,65.877353,-20.4,O,11.65,TRUE
Trades,Data,WashSale,Stocks,USD,BXG,19/11/18,,85,,,,,,65.877353,,ST,0,TRUE
Trades,SubTotal,,Stocks,USD,BXG (Bought),,,240,12.425,,-2982,-2,2984,65.877353,-176.95,,12.425,TRUE
Trades,Data,Order,Stocks,USD,BXG,"2018-11-14, 10:08:11",-,-155,12.0817,11.88,1872.6635,-1.042789625,-1992.75,-121.12929,31.2635,C,12.0817,TRUE
Trades,Data,Trade,Stocks,USD,BXG,"2018-11-14, 10:08:11",IBKRATS,-155,12.0817,11.88,1872.6635,-1.042789625,-1992.75,-121.12929,31.2635,C,12.0817,TRUE
Trades,Data,ClosedLot,Stocks,USD,BXG,6/11/18,,155,12.85645161,,,,1992.75,-121.12929,,ST,0,FALSE
Trades,Data,Order,Stocks,USD,BXG,"2018-11-23, 09:33:27",-,-85,11.8,11.8,1003,-1.023154,-1057.127353,-55.150507,0,C,11.8,TRUE
Trades,Data,Trade,Stocks,USD,BXG,"2018-11-23, 09:33:27",NYSE,-85,11.8,11.8,1003,-1.023154,-1057.127353,-55.150507,0,C,11.8,TRUE
Trades,Data,ClosedLot,Stocks,USD,BXG,19/11/18,,85,12.43679239,,,,1057.127353,-55.150507,,ST,0,FALSE
Trades,SubTotal,,Stocks,USD,BXG (Sold),,,-240,11.98193125,,2875.6635,-2.065943625,-3049.877353,-176.279797,31.2635,,11.98193125,TRUE
Trades,SubTotal,,Stocks,USD,BXG,,,0,,,-106.3365,-4.065943625,-65.877353,-110.402444,-145.6865,,#DIV/0!,#DIV/0!
Trades,Data,Order,Stocks,USD,CERC,"2018-11-23, 12:52:09",-,277,3.6,3.52,-997.2,-1.385,998.585,0,-22.16,O;P,3.6,TRUE
Trades,Data,Trade,Stocks,USD,CERC,"2018-11-23, 12:52:09",ISLAND,100,3.6,3.52,-360,-1,361,0,-8,O;P,3.6,TRUE
Trades,Data,Trade,Stocks,USD,CERC,"2018-11-23, 12:52:14",ISLAND,100,3.6,3.52,-360,0,360,0,-8,O;P,3.6,TRUE
Trades,Data,Trade,Stocks,USD,CERC,"2018-11-23, 12:52:19",ISLAND,77,3.6,3.52,-277.2,-0.385,277.585,0,-6.16,O;P,3.6,TRUE
Trades,SubTotal,,Stocks,USD,CERC (Bought),,,277,3.6,,-997.2,-1.385,998.585,0,-22.16,,3.6,TRUE
Trades,Data,Order,Stocks,USD,CRVS,"2018-11-26, 11:51:19",-,158,6.3,6.24,-995.4,-1,996.4,0,-9.48,O;P,6.3,TRUE
Trades,Data,Trade,Stocks,USD,CRVS,"2018-11-26, 11:51:19",ISLAND,1,6.3,6.24,-6.3,-1,7.3,0,-0.06,O;P,6.3,TRUE
Trades,Data,Trade,Stocks,USD,CRVS,"2018-11-26, 11:51:19",ISLAND,157,6.3,6.24,-989.1,0,989.1,0,-9.42,O;P,6.3,TRUE
Trades,SubTotal,,Stocks,USD,CRVS (Bought),,,158,6.3,,-995.4,-1,996.4,0,-9.48,,6.3,TRUE
Trades,Data,Order,Stocks,USD,CUE,"2018-11-05, 09:42:48",-,273,7.3,7.48,-1992.9,-2.0475,1994.9475,0,49.14,O;P,7.3,TRUE
Trades,Data,Trade,Stocks,USD,CUE,"2018-11-05, 09:42:48",AMEX,10,7.3,7.48,-73,-1,74,0,1.8,O;P,7.3,TRUE
Trades,Data,Trade,Stocks,USD,CUE,"2018-11-05, 09:42:59",AMEX,210,7.3,7.48,-1533,-0.65,1533.65,0,37.8,O;P,7.3,TRUE
Trades,Data,Trade,Stocks,USD,CUE,"2018-11-05, 09:42:59",AMEX,53,7.3,7.48,-386.9,-0.3975,387.2975,0,9.54,O;P,7.3,TRUE
Trades,Data,Order,Stocks,USD,CUE,"2018-11-26, 11:30:25",-,167,5.45,5.14,-910.15,-1,911.15,0,-51.77,O;P,5.45,TRUE
Trades,Data,Trade,Stocks,USD,CUE,"2018-11-26, 11:30:25",ISLAND,130,5.45,5.14,-708.5,-1,709.5,0,-40.3,O;P,5.45,TRUE
Trades,Data,Trade,Stocks,USD,CUE,"2018-11-26, 11:30:25",ISLAND,37,5.45,5.14,-201.65,0,201.65,0,-11.47,O;P,5.45,TRUE
Trades,SubTotal,,Stocks,USD,CUE (Bought),,,440,6.597840909,,-2903.05,-3.0475,2906.0975,0,-2.63,,6.597840909,FALSE
Trades,Data,Order,Stocks,USD,CUE,"2018-11-08, 09:30:00",-,-273,7.76,7.32,2118.48,-1.42502724,-1994.9475,122.107472,120.12,C,7.76,TRUE
Trades,Data,Trade,Stocks,USD,CUE,"2018-11-08, 09:30:00",ISLAND,-273,7.76,7.32,2118.48,-1.42502724,-1994.9475,122.107472,120.12,C,7.76,TRUE
Trades,Data,ClosedLot,Stocks,USD,CUE,5/11/18,,273,7.3075,,,,1994.9475,122.107472,,ST,0,FALSE
Trades,SubTotal,,Stocks,USD,CUE (Sold),,,-273,7.76,,2118.48,-1.42502724,-1994.9475,122.107472,120.12,,7.76,TRUE
Trades,SubTotal,,Stocks,USD,CUE,,,167,,,-784.57,-4.47252724,911.15,122.107472,117.49,,4.698023952,FALSE
Trades,Data,Order,Stocks,USD,ETTX,"2018-11-26, 10:28:14",-,152,6.55,6.4,-995.6,-1,996.6,0,-22.8,O,6.55,TRUE
Trades,Data,Trade,Stocks,USD,ETTX,"2018-11-26, 10:28:14",ISLAND,152,6.55,6.4,-995.6,-1,996.6,0,-22.8,O,6.55,TRUE
Trades,SubTotal,,Stocks,USD,ETTX (Bought),,,152,6.55,,-995.6,-1,996.6,0,-22.8,,6.55,TRUE
Trades,Data,Order,Stocks,USD,FTNW,"2018-11-05, 09:34:38",-,216,9.25,8.3,-1998,-1.62,1999.62,0,-205.2,O,9.25,TRUE
Trades,Data,Trade,Stocks,USD,FTNW,"2018-11-05, 09:34:38",AMEX,216,9.25,8.3,-1998,-1.62,1999.62,0,-205.2,O,9.25,TRUE
Trades,Data,Order,Stocks,USD,FTNW,"2018-11-20, 13:24:18",-,180,5.55,5.02,-999,-1,1000,439.687379,-95.4,O,5.55,TRUE
Trades,Data,Trade,Stocks,USD,FTNW,"2018-11-20, 13:24:18",DRCTEDGE,180,5.55,5.02,-999,-1,1000,439.687379,-95.4,O,5.55,TRUE
Trades,Data,WashSale,Stocks,USD,FTNW,20/11/18,,180,,,,,,439.687379,,ST,0,TRUE
Trades,SubTotal,,Stocks,USD,FTNW (Bought),,,396,7.568181818,,-2997,-2.62,2999.62,439.687379,-300.6,,7.568181818,FALSE
Trades,Data,Order,Stocks,USD,FTNW,"2018-11-13, 10:34:29",-,-216,6.82,6.95,1473.12,-1.12485456,-1999.62,-527.624855,-28.08,C,6.82,TRUE
Trades,Data,Trade,Stocks,USD,FTNW,"2018-11-13, 10:34:29",AMEX,-216,6.82,6.95,1473.12,-1.12485456,-1999.62,-527.624855,-28.08,C,6.82,TRUE
Trades,Data,ClosedLot,Stocks,USD,FTNW,5/11/18,,216,9.2575,,,,1999.62,-527.624855,,ST,0,FALSE
Trades,SubTotal,,Stocks,USD,FTNW (Sold),,,-216,6.82,,1473.12,-1.12485456,-1999.62,-527.624855,-28.08,,6.82,TRUE
Trades,SubTotal,,Stocks,USD,FTNW,,,180,,,-1523.88,-3.74485456,1000,-87.937476,-328.68,,8.466,FALSE
Trades,Data,Order,Stocks,USD,ICD,"2018-11-23, 12:56:04",-,312,3.2,3.21,-998.4,-1.56,999.96,0,3.12,O;P,3.2,TRUE
Trades,Data,Trade,Stocks,USD,ICD,"2018-11-23, 12:56:04",NYSE,100,3.2,3.21,-320,-1,321,0,1,O;P,3.2,TRUE
Trades,Data,Trade,Stocks,USD,ICD,"2018-11-23, 12:56:04",NYSE,37,3.2,3.21,-118.4,0,118.4,0,0.37,O;P,3.2,TRUE
Trades,Data,Trade,Stocks,USD,ICD,"2018-11-23, 12:56:04",NYSE,88,3.2,3.21,-281.6,-0.125,281.725,0,0.88,O;P,3.2,TRUE
Trades,Data,Trade,Stocks,USD,ICD,"2018-11-23, 12:56:04",NYSE,87,3.2,3.21,-278.4,-0.435,278.835,0,0.87,O;P,3.2,TRUE
Trades,SubTotal,,Stocks,USD,ICD (Bought),,,312,3.2,,-998.4,-1.56,999.96,0,3.12,,3.2,TRUE
Trades,Data,Order,Stocks,USD,IMH,"2018-11-26, 12:13:22",-,235,4.25,4.2,-998.75,-1.175,999.925,0,-11.75,O;P,4.25,TRUE
Trades,Data,Trade,Stocks,USD,IMH,"2018-11-26, 12:13:22",DRCTEDGE,171,4.25,4.2,-726.75,-1,727.75,0,-8.55,O;P,4.25,TRUE
Trades,Data,Trade,Stocks,USD,IMH,"2018-11-26, 12:13:22",DRCTEDGE,64,4.25,4.2,-272,-0.175,272.175,0,-3.2,O;P,4.25,TRUE
Trades,SubTotal,,Stocks,USD,IMH (Bought),,,235,4.25,,-998.75,-1.175,999.925,0,-11.75,,4.25,TRUE
Trades,Data,Order,Stocks,USD,KEG,"2018-11-26, 11:59:59",-,57,6.8,7.06,-387.6,-1,388.6,0,14.82,O;P,6.8,TRUE
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 11:59:59",NYSE,10,6.8,7.06,-68,-1,69,0,2.6,O;P,6.8,TRUE
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:00:25",NYSE,3,6.8,7.06,-20.4,0,20.4,0,0.78,O;P,6.8,TRUE
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:00:40",NYSE,2,6.8,7.06,-13.6,0,13.6,0,0.52,O;P,6.8,TRUE
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:00:59",NYSE,10,6.8,7.06,-68,0,68,0,2.6,O;P,6.8,TRUE
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:01:53",NYSE,7,6.8,7.06,-47.6,0,47.6,0,1.82,O;P,6.8,TRUE
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:02:56",NYSE,5,6.8,7.06,-34,0,34,0,1.3,O;P,6.8,TRUE
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:03:11",NYSE,15,6.8,7.06,-102,0,102,0,3.9,O;P,6.8,TRUE
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:04:48",NYSE,5,6.8,7.06,-34,0,34,0,1.3,O;P,6.8,TRUE
Trades,SubTotal,,Stocks,USD,KEG (Bought),,,57,6.8,,-387.6,-1,388.6,0,14.82,,6.8,TRUE
Trades,Data,Order,Stocks,USD,KNSA,"2018-11-13, 11:07:53",-,110,18.05,16.25,-1985.5,-1,1986.5,0,-198,O;P,18.05,TRUE
Trades,Data,Trade,Stocks,USD,KNSA,"2018-11-13, 11:07:53",ISLAND,100,18.05,16.25,-1805,-1,1806,0,-180,O;P,18.05,TRUE
Trades,Data,Trade,Stocks,USD,KNSA,"2018-11-13, 11:08:04",ISLAND,10,18.05,16.25,-180.5,0,180.5,0,-18,O;P,18.05,TRUE
Trades,SubTotal,,Stocks,USD,KNSA (Bought),,,110,18.05,,-1985.5,-1,1986.5,0,-198,,18.05,TRUE
Trades,Data,Order,Stocks,USD,KNSA,"2018-11-21, 12:03:25",-,-110,18.25,20.29,2007.5,-1.0391875,-1986.5,19.960812,-224.4,C,18.25,TRUE
Trades,Data,Trade,Stocks,USD,KNSA,"2018-11-21, 12:03:25",ISLAND,-110,18.25,20.29,2007.5,-1.0391875,-1986.5,19.960812,-224.4,C,18.25,TRUE
Trades,Data,ClosedLot,Stocks,USD,KNSA,13/11/18,,110,18.05909091,,,,1986.5,19.960812,,ST,0,FALSE
Trades,SubTotal,,Stocks,USD,KNSA (Sold),,,-110,18.25,,2007.5,-1.0391875,-1986.5,19.960812,-224.4,,18.25,TRUE
Trades,SubTotal,,Stocks,USD,KNSA,,,0,,,22,-2.0391875,0,19.960812,-422.4,,#DIV/0!,#DIV/0!
Trades,Data,Order,Stocks,USD,LAZY,"2018-11-13, 11:04:11",-,200,5.45,5.5,-1090,-1,1091,0,10,O,5.45,TRUE
Trades,Data,Trade,Stocks,USD,LAZY,"2018-11-13, 11:04:11",ISLAND,200,5.45,5.5,-1090,-1,1091,0,10,O,5.45,TRUE
Trades,SubTotal,,Stocks,USD,LAZY (Bought),,,200,5.45,,-1090,-1,1091,0,10,,5.45,TRUE
Trades,Data,Order,Stocks,USD,LAZY,"2018-11-26, 09:30:01",-,-200,4.89,5.13,978,-1.036514,-1091,-114.036514,-48,C,4.89,TRUE
Trades,Data,Trade,Stocks,USD,LAZY,"2018-11-26, 09:30:01",ISLAND,-200,4.89,5.13,978,-1.036514,-1091,-114.036514,-48,C,4.89,TRUE
Trades,Data,ClosedLot,Stocks,USD,LAZY,13/11/18,,200,5.455,,,,1091,-114.036514,,ST,0,FALSE
Trades,SubTotal,,Stocks,USD,LAZY (Sold),,,-200,4.89,,978,-1.036514,-1091,-114.036514,-48,,4.89,TRUE
Trades,SubTotal,,Stocks,USD,LAZY,,,0,,,-112,-2.036514,0,-114.036514,-38,,#DIV/0!,#DIV/0!
Trades,Data,Order,Stocks,USD,LEVB,"2018-11-19, 13:18:28",-,263,3.7954,3.72,-998.1902,-1.315,999.5052,0,-19.8302,O,3.7954,TRUE
Trades,Data,Trade,Stocks,USD,LEVB,"2018-11-19, 13:18:28",IBKRATS,263,3.7954,3.72,-998.1902,-1.315,999.5052,0,-19.8302,O,3.7954,TRUE
Trades,SubTotal,,Stocks,USD,LEVB (Bought),,,263,3.7954,,-998.1902,-1.315,999.5052,0,-19.8302,,3.7954,TRUE
Trades,Data,Order,Stocks,USD,LEVB,"2018-11-23, 11:47:32",-,-263,3.85,4,1012.55,-1.35946015,-999.5052,11.68534,-39.45,C;P,3.85,TRUE
Trades,Data,Trade,Stocks,USD,LEVB,"2018-11-23, 11:47:32",DRCTEDGE,-79,3.85,4,304.15,-1.01335495,-300.2316,2.905045,-11.85,C;P,3.85,TRUE
Trades,Data,ClosedLot,Stocks,USD,LEVB,19/11/18,,79,3.8004,,,,300.2316,2.905045,,ST,0,FALSE
Trades,Data,Trade,Stocks,USD,LEVB,"2018-11-23, 11:47:32",DRCTEDGE,-184,3.85,4,708.4,-0.3461052,-699.2736,8.780295,-27.6,C;P,3.85,TRUE
Trades,Data,ClosedLot,Stocks,USD,LEVB,19/11/18,,184,3.8004,,,,699.2736,8.780295,,ST,0,FALSE
Trades,SubTotal,,Stocks,USD,LEVB (Sold),,,-263,3.85,,1012.55,-1.35946015,-999.5052,11.68534,-39.45,,3.85,TRUE
Trades,SubTotal,,Stocks,USD,LEVB,,,0,,,14.3598,-2.67446015,0,11.68534,-59.2802,,#DIV/0!,#DIV/0!
Trades,Data,Order,Stocks,USD,LQDA,"2018-11-13, 12:52:27",-,103,19.35,19.32,-1993.05,-1,1994.05,0,-3.09,O;P,19.35,TRUE
Trades,Data,Trade,Stocks,USD,LQDA,"2018-11-13, 12:52:27",ISLAND,10,19.35,19.32,-193.5,-1,194.5,0,-0.3,O;P,19.35,TRUE
Trades,Data,Trade,Stocks,USD,LQDA,"2018-11-13, 12:52:41",BATS,93,19.35,19.32,-1799.55,0,1799.55,0,-2.79,O;P,19.35,TRUE
Trades,SubTotal,,Stocks,USD,LQDA (Bought),,,103,19.35,,-1993.05,-1,1994.05,0,-3.09,,19.35,TRUE
Trades,Data,Order,Stocks,USD,LQDA,"2018-11-19, 10:35:40",-,-103,21.76066602,21.61,2241.3486,-1.041394532,-1994.05,246.257205,15.5186,C;P,21.76066602,FALSE
Trades,Data,Trade,Stocks,USD,LQDA,"2018-11-19, 10:35:40",ISLAND,-100,21.78,21.61,2178,-1.040214,-1936,240.959786,17,C;P,21.78,TRUE
Trades,Data,ClosedLot,Stocks,USD,LQDA,13/11/18,,100,19.36,,,,1936,240.959786,,ST,0,FALSE
Trades,Data,Trade,Stocks,USD,LQDA,"2018-11-19, 10:35:50",IBKRATS,-3,21.1162,21.61,63.3486,-0.001180532,-58.05,5.297419,-1.4814,C;P,21.1162,TRUE
Trades,Data,ClosedLot,Stocks,USD,LQDA,13/11/18,,3,19.35,,,,58.05,5.297419,,ST,0,FALSE
Trades,SubTotal,,Stocks,USD,LQDA (Sold),,,-103,21.76066602,,2241.3486,-1.041394532,-1994.05,246.257205,15.5186,,21.76066602,FALSE
Trades,SubTotal,,Stocks,USD,LQDA,,,0,,,248.2986,-2.041394532,0,246.257205,12.4286,,#DIV/0!,#DIV/0!
Trades,Data,Order,Stocks,USD,MBIO,"2018-11-26, 12:02:03",-,259,3.85,3.74,-997.15,-1.295,998.445,0,-28.49,O,3.85,TRUE
Trades,Data,Trade,Stocks,USD,MBIO,"2018-11-26, 12:02:03",ISLAND,259,3.85,3.74,-997.15,-1.295,998.445,0,-28.49,O,3.85,TRUE
Trades,SubTotal,,Stocks,USD,MBIO (Bought),,,259,3.85,,-997.15,-1.295,998.445,0,-28.49,,3.85,TRUE
Trades,Data,Order,Stocks,USD,MGEN,"2018-11-26, 10:18:48",-,294,3.4,3.37,-999.6,-1.47,1001.07,0,-8.82,O;P,3.4,TRUE
Trades,Data,Trade,Stocks,USD,MGEN,"2018-11-26, 10:18:48",ISLAND,100,3.4,3.37,-340,-1,341,0,-3,O;P,3.4,TRUE
Trades,Data,Trade,Stocks,USD,MGEN,"2018-11-26, 10:19:57",ISLAND,22,3.4,3.37,-74.8,0,74.8,0,-0.66,O;P,3.4,TRUE
Trades,Data,Trade,Stocks,USD,MGEN,"2018-11-26, 10:20:57",ISLAND,70,3.4,3.37,-238,0,238,0,-2.1,O;P,3.4,TRUE
Trades,Data,Trade,Stocks,USD,MGEN,"2018-11-26, 10:20:57",ISLAND,102,3.4,3.37,-346.8,-0.47,347.27,0,-3.06,O;P,3.4,TRUE
Trades,SubTotal,,Stocks,USD,MGEN (Bought),,,294,3.4,,-999.6,-1.47,1001.07,0,-8.82,,3.4,TRUE
Trades,Data,Order,Stocks,USD,MGTA,"2018-11-13, 12:48:38",-,264,7.55,6.87,-1993.2,-1.32,1994.52,0,-179.52,O,7.55,TRUE
