Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Exchange,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Column1,Column2
Trades,Data,Order,Stocks,USD,ACU,"2018-11-02, 13:48:55",-,37,17.72,17.87,-655.64,-1,656.64,0,5.55,O,17.72,TRUE
Trades,Data,Trade,Stocks,USD,ACU,"2018-11-02, 13:48:55",DRCTEDGE,37,17.72,17.87,-655.64,-1,656.64,0,5.55,O,17.72,TRUE
Trades,SubTotal,,Stocks,USD,ACU (Bought),,,37,17.72,,-655.64,-1,656.64,0,5.55,,17.72,TRUE
Trades,Data,Order,Stocks,USD,ACU,"2018-11-06, 14:57:08",-,-37,17.95,18.0288,664.15,-1.01303695,-656.64,6.496963,-2.9156,C;P,17.95,TRUE
Trades,Data,Trade,Stocks,USD,ACU,"2018-11-06, 14:57:08",AMEX,-1,17.95,18.0288,17.95,-1.00035235,-17.747027,-0.797379,-0.0788,C;P,17.95,TRUE
Trades,Data,ClosedLot,Stocks,USD,ACU,2/11/18,,1,17.747027,,,,17.747027,-0.797379,,ST,0,FALSE
Trades,Data,Trade,Stocks,USD,ACU,"2018-11-06, 15:33:21",AMEX,-36,17.95,18.0288,646.2,-0.0126846,-638.892973,7.294342,-2.8368,C;P,17.95,TRUE
Trades,Data,ClosedLot,Stocks,USD,ACU,2/11/18,,36,17.74702703,,,,638.892973,7.294342,,ST,0,FALSE
Trades,SubTotal,,Stocks,USD,ACU (Sold),,,-37,17.95,,664.15,-1.01303695,-656.64,6.496963,-2.9156,,17.95,TRUE
Trades,SubTotal,,Stocks,USD,ACU,,,0,,,8.51,-2.01303695,0,6.496963,2.6344,,#DIV/0!,#DIV/0!
Trades,Data,Order,Stocks,USD,AEYE,"2018-11-23, 12:36:43",-,176,5.65,5.9727,-994.4,-1,995.4,0,56.7952,O,5.65,TRUE
Trades,Data,Trade,Stocks,USD,AEYE,"2018-11-23, 12:36:43",ARCA,176,5.65,5.9727,-994.4,-1,995.4,0,56.7952,O,5.65,TRUE
Trades,SubTotal,,Stocks,USD,AEYE (Bought),,,176,5.65,,-994.4,-1,995.4,0,56.7952,,5.65,TRUE
Trades,Data,Order,Stocks,USD,ALNA,"2018-11-02, 15:54:43",-,80,8.3,8.28,-664,-1,665,0,-1.6,O,8.3,TRUE
Trades,Data,Trade,Stocks,USD,ALNA,"2018-11-02, 15:54:43",ISLAND,80,8.3,8.28,-664,-1,665,0,-1.6,O,8.3,TRUE
Trades,Data,Order,Stocks,USD,ALNA,"2018-11-13, 10:53:21",-,243,8.2,8.36,-1992.6,-1.215,1993.815,0,38.88,O,8.2,TRUE
Trades,Data,Trade,Stocks,USD,ALNA,"2018-11-13, 10:53:21",ISLAND,243,8.2,8.36,-1992.6,-1.215,1993.815,0,38.88,O,8.2,TRUE
Trades,SubTotal,,Stocks,USD,ALNA (Bought),,,323,8.224767802,,-2656.6,-2.215,2658.815,0,37.28,,8.224767802,FALSE
Trades,Data,Order,Stocks,USD,ALNA,"2018-11-08, 13:57:49",-,-80,8.4,8.61,672,-1.018256,-665,5.981744,-16.8,C,8.4,TRUE
Trades,Data,Trade,Stocks,USD,ALNA,"2018-11-08, 13:57:49",ISLAND,-80,8.4,8.61,672,-1.018256,-665,5.981744,-16.8,C,8.4,TRUE
Trades,Data,ClosedLot,Stocks,USD,ALNA,2/11/18,,80,8.3125,,,,665,5.981744,,ST,0,FALSE
